x,u,v,dp,re,L,H
0,0,0,-10,10,10,2
0.025,0,0.246875,,,,
0.05,0,0.4875,,,,
0.075,0,0.721875,,,,
0.1,0,0.95,,,,
0.125,0,1.171875,,,,
0.15,0,1.3875,,,,
0.175,0,1.596875,,,,
0.2,0,1.8,,,,
0.225,0,1.996875,,,,
0.25,0,2.1875,,,,
0.275,0,2.371875,,,,
0.3,0,2.55,,,,
0.325,0,2.721875,,,,
0.35,0,2.8875,,,,
0.375,0,3.046875,,,,
0.4,0,3.2,,,,
0.425,0,3.346875,,,,
0.45,0,3.4875,,,,
0.475,0,3.621875,,,,
0.5,0,3.75,,,,
0.525,0,3.871875,,,,
0.55,0,3.9875,,,,
0.575,0,4.096875,,,,
0.6,0,4.2,,,,
0.625,0,4.296875,,,,
0.65,0,4.3875,,,,
0.675,0,4.471875,,,,
0.7,0,4.55,,,,
0.725,0,4.621875,,,,
0.75,0,4.6875,,,,
0.775,0,4.746875,,,,
0.8,0,4.8,,,,
0.825,0,4.846875,,,,
0.85,0,4.8875,,,,
0.875,0,4.921875,,,,
0.9,0,4.95,,,,
0.925,0,4.971875,,,,
0.95,0,4.9875,,,,
0.975,0,4.996875,,,,
1,0,5,,,,
