y,u,v,dp,re,L,H
0,0,0,-10,10,10,2
0.025,0.246875,0,,,,
0.05,0.4875,0,,,,
0.075,0.721875,0,,,,
0.1,0.95,0,,,,
0.125,1.171875,0,,,,
0.15,1.3875,0,,,,
0.175,1.596875,0,,,,
0.2,1.8,0,,,,
0.225,1.996875,0,,,,
0.25,2.1875,0,,,,
0.275,2.371875,0,,,,
0.3,2.55,0,,,,
0.325,2.721875,0,,,,
0.35,2.8875,0,,,,
0.375,3.046875,0,,,,
0.4,3.2,0,,,,
0.425,3.346875,0,,,,
0.45,3.4875,0,,,,
0.475,3.621875,0,,,,
0.5,3.75,0,,,,
0.525,3.871875,0,,,,
0.55,3.9875,0,,,,
0.575,4.096875,0,,,,
0.6,4.2,0,,,,
0.625,4.296875,0,,,,
0.65,4.3875,0,,,,
0.675,4.471875,0,,,,
0.7,4.55,0,,,,
0.725,4.621875,0,,,,
0.75,4.6875,0,,,,
0.775,4.746875,0,,,,
0.8,4.8,0,,,,
0.825,4.846875,0,,,,
0.85,4.8875,0,,,,
0.875,4.921875,0,,,,
0.9,4.95,0,,,,
0.925,4.971875,0,,,,
0.95,4.9875,0,,,,
0.975,4.996875,0,,,,
1,5,0,,,,
1.025,4.996875,0,,,,
1.05,4.9875,0,,,,
1.075,4.971875,0,,,,
1.1,4.95,0,,,,
1.125,4.921875,0,,,,
1.15,4.8875,0,,,,
1.175,4.846875,0,,,,
1.2,4.8,0,,,,
1.225,4.746875,0,,,,
1.25,4.6875,0,,,,
1.275,4.621875,0,,,,
1.3,4.55,0,,,,
1.325,4.471875,0,,,,
1.35,4.3875,0,,,,
1.375,4.296875,0,,,,
1.4,4.2,0,,,,
1.425,4.096875,0,,,,
1.45,3.9875,0,,,,
1.475,3.871875,0,,,,
1.5,3.75,0,,,,
1.525,3.621875,0,,,,
1.55,3.4875,0,,,,
1.575,3.346875,0,,,,
1.6,3.2,0,,,,
1.625,3.046875,0,,,,
1.65,2.8875,0,,,,
1.675,2.721875,0,,,,
1.7,2.55,0,,,,
1.725,2.371875,0,,,,
1.75,2.1875,0,,,,
1.775,1.996875,0,,,,
1.8,1.8,0,,,,
1.825,1.596875,0,,,,
1.85,1.3875,0,,,,
1.875,1.171875,0,,,,
1.9,0.950000000000001,0,,,,
1.925,0.721875,0,,,,
1.95,0.487499999999998,0,,,,
1.975,0.246874999999999,0,,,,
2,0,0,,,,
